income_bracket,education_level,app_usage_time_min,swipe_right_ratio,likes_received,mutual_matches,profile_pics_count,bio_length,message_sent_count,emoji_usage_rate,last_active_hour,is_ghosted,gender_Female,gender_Genderfluid,gender_Male,gender_Non-binary,gender_Prefer Not to Say,gender_Transgender,location_type_Metro,location_type_Remote Area,location_type_Rural,location_type_Small Town,location_type_Suburban,location_type_Urban,sexual_orientation_Asexual,sexual_orientation_Bisexual,sexual_orientation_Demisexual,sexual_orientation_Gay,sexual_orientation_Lesbian,sexual_orientation_Pansexual,sexual_orientation_Queer,sexual_orientation_Straight,swipe_time_of_day_After Midnight,swipe_time_of_day_Afternoon,swipe_time_of_day_Early Morning,swipe_time_of_day_Evening,swipe_time_of_day_Late Night,swipe_time_of_day_Morning
4.0,1.0,-1.1255637705522772,0.5030968337327161,1.2668750040218402,1.0026572553432451,0.5069613596636648,-1.4238608021906527,0.854645822194086,0.4611001339324085,13,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
3.0,0.0,1.4839420317298335,0.30053048035962276,0.12886978060062473,-0.7545177823897764,0.006149963939492867,0.3510066215195546,-0.5167337752460452,0.8360057237173594,0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1.0,2.0,-1.1600506313753887,-0.45909334478947883,-0.14701027356209415,1.4419510147765005,-0.49466143178467914,0.4062554129190941,-0.5853027551180517,0.7735214587532009,1,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0.0,3.0,0.40335372593900354,-0.9148676398789395,0.8185699160074219,-0.8643412222480902,1.0077727553878368,-1.4860156925151347,-1.5452684733261437,-1.3509435500281872,21,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2.0,1.0,-0.7691995420467906,-0.9148676398789395,-0.09528276340658434,-0.31522402295652097,-0.9954728275088511,0.6410627763671372,-0.5510182651820485,-1.1010064901715535,22,0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
4.0,1.4902888558424587,-0.13694042695641143,0.6043800104192629,1.094449970170141,0.8928338154849313,0.5069613596636648,-0.9542460752945667,1.2660597014261255,-0.6636166354224441,10,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2.5124294575812693,1.4902888558424587,0.12745883935411081,-0.6110181098192989,-0.7849828988133816,0.6731869357683036,0.006149963939492867,-0.3326971720497471,1.094637251746109,0.21116307407577473,14,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
3.0,3.0,0.7942048152676017,-0.1552438147298384,0.8530549227777617,-0.20540058309820713,-0.49466143178467914,-0.9542460752945667,-1.1338545940941043,1.5858169032872615,16,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
4.0,1.4902888558424587,-1.3554761760396878,-1.3706419349684003,-0.02631274986590463,-0.20540058309820713,0.5069613596636648,-0.07717151182687675,0.5803699027060598,-0.10125825074501761,8,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
3.0,1.0,0.0010070163360349621,0.9082295404789037,0.19783979414130445,-0.9741646621064041,0.006149963939492867,-1.7208230559631776,1.4374821511061417,-0.10125825074501761,23,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
